0.052017	0.096732	-0.008274	0.082899	0.121672	0.002911
0.085519	0.103105	-0.011406	0.089933	0.125730	0.001641
0.059223	0.084508	-0.00411	0.082709	0.147661	-0.032897
-0.032036	0.049779	-0.045031	0.016522	0.196608	-0.08672
0.028825	0.075394	-0.028452	0.032942	0.200601	-0.018651
0.021484	-0.003491	0.011393	0.018097	0.197200	-0.02249
0.022142	0.017555	0.006765	0.016385	0.191632	-0.018393
0.047973	0.029876	0.005129	0.037607	0.181692	0.00890
0.053798	0.040047	0.007026	0.010973	0.140204	0.02312
-0.001364	0.009414	0.003045	-0.015519	0.125928	0.030731
0.005987	0.020265	-0.00615	0.010941	0.130841	0.026676
0.037190	0.028690	0.002232	0.020637	0.114752	0.042936
0.025647	0.035700	0.005656	0.015789	0.105094	0.047954
0.022722	0.019000	0.005528	0.019698	0.102133	0.042072
0.022662	0.010335	-0.006202	0.006082	0.085787	0.037880
0.034115	0.041376	0.0047760	0.025339	0.077264	0.050344
0.041803	0.042266	0.0046470	0.02583		0.061813	0.041787
0.044779	0.034519	0.0107930	0.043323	0.060419	0.038153
0.043901	0.032826	0.0049770	0.032829	0.049756	0.031319
0.041505	0.037614	-0.002753	0.027667	0.036380	0.048996
0.018792	0.032143	-0.001316	0.018257	0.035855	0.041261
0.019809	0.033607	-0.009888	0.01191		0.028079	0.027275
0.007527	0.026983	-0.031311	0.009712	0.030246	0.017180
0.022269	0.057790	-0.005813	0.017616	0.025683	0.015370
0.013258	0.041926	-0.009173	0.020603	0.032907	0.013484
0.004021	0.033307	0.0064400	0.009301	0.038152	0.005706
0.001907	0.001589	-0.006367	-0.001297	0.034949	-0.010968
-0.017648	0.007682	-0.020728	-0.006843	0.045889	0.000456
0.005471	0.025671	-0.026443	-0.010384	0.029994	0.005914
0.001152	0.036849	0.0014660	-0.000459	0.028384	0.007963
0.009941	0.030736	-0.015173	-0.016554	0.001800	0.009172
0.003750	0.021430	-0.020098	-0.001525	-0.003469	0.009609
-0.005431	0.003081	-0.003508	-0.016664	-0.014828	0.002851
0.008119	0.010342	-0.005388	0.002424	-0.020493	0.000455
0.010160	0.018646	-0.001848	0.007696	-0.022935	0.006009
0.009780	-0.001222	0.009158	0.006139	-0.026547	0.000123
0.003606	0.018124	0.005045	-0.003768	-0.033922	0.005812
